Epoch,Open,High,Low,Close,Volume
2016-06-16 00:00:00-04:00,206.72,208.565,205.59,208.42,12814433
2016-06-17 00:00:00-04:00,207.17,207.2,205.75,206.66,9600204
2016-06-20 00:00:00-04:00,208.82,209.6,207.75,207.87,8867534
2016-06-21 00:00:00-04:00,208.3,208.91,207.79,208.37,7223504
2016-06-22 00:00:00-04:00,208.66,209.49,207.93,208.05,9022418
2016-06-23 00:00:00-04:00,209.81,210.845,209.27,210.82,8800318
2016-06-24 00:00:00-04:00,203.63,206.9,202.72,203.22,32962900
2016-06-27 00:00:00-04:00,201.59,201.59,198.66,199.59,22832747
2016-06-28 00:00:00-04:00,201.48,203.2,201.12,203.19,16752808
2016-06-29 00:00:00-04:00,204.84,206.93,204.725,206.66,13181305
2016-06-30 00:00:00-04:00,207.21,209.51,206.57,209.51,14781843
2016-07-01 00:00:00-04:00,209.36,210.49,209.35,209.84,10060806
2016-07-05 00:00:00-04:00,208.95,209.07,207.715,208.44,9481524
2016-07-06 00:00:00-04:00,207.83,209.795,207.06,209.74,9987635
2016-07-07 00:00:00-04:00,209.9,210.64,208.63,209.52,8938313
2016-07-08 00:00:00-04:00,211.05,212.94,210.78,212.65,11690678
2016-07-11 00:00:00-04:00,213.19,214.065,212.95,213.39,7391594
2016-07-12 00:00:00-04:00,214.53,215.3,214.25,214.95,9901082
2016-07-13 00:00:00-04:00,215.44,215.45,214.36,214.94,8347842
2016-07-14 00:00:00-04:00,216.4,216.66,215.66,216.07,8502968
2016-07-15 00:00:00-04:00,216.78,216.81,215.31,215.82,7527385
2016-07-18 00:00:00-04:00,215.96,216.6,215.675,216.41,4384490
2016-07-19 00:00:00-04:00,215.91,216.22,215.64,216.15,4380936
2016-07-20 00:00:00-04:00,216.74,217.365,216.25,217.11,4542288
2016-07-21 00:00:00-04:00,216.96,217.21,215.75,216.25,5227224
2016-07-22 00:00:00-04:00,216.41,217.3,216.11,217.24,5214365
2016-07-25 00:00:00-04:00,217.0,217.06,215.97,216.66,4847761
2016-07-26 00:00:00-04:00,216.53,217.16,215.76,216.73,6510992
2016-07-27 00:00:00-04:00,217.19,217.26,215.63,216.54,8131242
2016-07-28 00:00:00-04:00,216.29,217.11,215.755,216.78,5825053
2016-07-29 00:00:00-04:00,216.47,217.54,216.13,217.115,7323331
2016-08-01 00:00:00-04:00,217.19,217.65,216.41,216.9,7425690
2016-08-02 00:00:00-04:00,216.65,216.82,214.58,215.56,9634054
2016-08-03 00:00:00-04:00,215.48,216.24,215.13,216.21,5249539
2016-08-04 00:00:00-04:00,216.31,216.77,215.83,216.41,4986097
2016-08-05 00:00:00-04:00,217.21,218.225,217.07,218.17,6274798
2016-08-08 00:00:00-04:00,218.4,218.52,217.75,218.02,4613636
2016-08-09 00:00:00-04:00,218.13,218.755,217.8,218.16,5114320
2016-08-10 00:00:00-04:00,218.31,218.4,217.23,217.63,5297443
2016-08-11 00:00:00-04:00,218.26,218.94,217.95,218.66,5320739
2016-08-12 00:00:00-04:00,218.29,218.71,218.0,218.44,4510826
2016-08-15 00:00:00-04:00,218.89,219.495,218.88,219.13,4286355
2016-08-16 00:00:00-04:00,218.59,218.68,217.97,217.98,5231642
2016-08-17 00:00:00-04:00,218.0,218.53,217.02,218.36,7775309
2016-08-18 00:00:00-04:00,218.33,218.89,218.215,218.88,5338372
2016-08-19 00:00:00-04:00,218.32,218.75,217.75,218.59,6194480
2016-08-22 00:00:00-04:00,218.26,218.8,217.83,218.5,5223587
2016-08-23 00:00:00-04:00,219.25,219.6,218.9,218.93,5080603
2016-08-24 00:00:00-04:00,218.8,218.91,217.37,217.85,5696067
2016-08-25 00:00:00-04:00,217.4,218.19,217.23,217.6,6001061
2016-08-26 00:00:00-04:00,217.92,219.11,216.25,217.23,13312572
2016-08-29 00:00:00-04:00,217.44,218.66,217.41,218.36,5911826
2016-08-30 00:00:00-04:00,218.26,218.59,217.35,217.96,5065014
2016-08-31 00:00:00-04:00,217.62,217.75,216.47,217.44,8238310
2016-09-01 00:00:00-04:00,217.37,217.73,216.04,217.4,9396499
2016-09-02 00:00:00-04:00,218.39,218.87,217.71,218.36,7879589
2016-09-06 00:00:00-04:00,218.69,219.05,217.86,219.05,5576350
2016-09-07 00:00:00-04:00,218.84,219.21,218.3,219.07,5280328
2016-09-08 00:00:00-04:00,218.62,218.94,218.16,218.53,6918351
2016-09-09 00:00:00-04:00,216.97,217.02,213.26,213.28,21249525
2016-09-12 00:00:00-04:00,212.39,216.81,212.31,216.38,16800950
2016-09-13 00:00:00-04:00,214.84,215.14,212.51,213.21,17188281
2016-09-14 00:00:00-04:00,213.29,214.7,212.51,213.14,12847233
2016-09-15 00:00:00-04:00,212.96,215.73,212.76,215.3,12416149
2016-09-16 00:00:00-04:00,213.48,213.69,212.58,213.35,11103308
2016-09-19 00:00:00-04:00,214.13,214.87,213.04,213.39,6210317
2016-09-20 00:00:00-04:00,214.41,214.59,213.39,213.41,4981090
2016-09-21 00:00:00-04:00,214.23,216.03,213.44,215.8,9618425
2016-09-22 00:00:00-04:00,217.0,217.53,216.715,217.18,6625530
2016-09-23 00:00:00-04:00,216.72,216.88,215.89,215.98,5984943
2016-09-26 00:00:00-04:00,215.05,215.23,214.01,214.24,6776968
2016-09-27 00:00:00-04:00,214.05,215.67,213.62,215.54,6729089
2016-09-28 00:00:00-04:00,215.83,216.82,214.73,216.67,7353433
2016-09-29 00:00:00-04:00,216.42,216.87,214.05,214.67,13548591
2016-09-30 00:00:00-04:00,215.65,217.11,215.36,216.34,9272796
2016-10-03 00:00:00-04:00,215.82,216.03,215.04,215.71,5793601
2016-10-04 00:00:00-04:00,215.91,216.17,213.99,214.7,10227889
2016-10-05 00:00:00-04:00,215.41,216.13,215.34,215.65,6184890
2016-10-06 00:00:00-04:00,215.37,216.04,214.74,215.84,4715555
2016-10-07 00:00:00-04:00,216.1,216.29,214.2,215.06,8198136
2016-10-10 00:00:00-04:00,216.155,216.695,215.99,216.12,3453057
2016-10-11 00:00:00-04:00,215.66,215.74,212.58,213.45,10878376
2016-10-12 00:00:00-04:00,213.6,214.32,213.01,213.71,5852464
2016-10-13 00:00:00-04:00,212.16,213.59,211.21,213.05,8104534
2016-10-14 00:00:00-04:00,214.15,214.69,213.03,213.09,7301102
2016-10-17 00:00:00-04:00,213.08,213.38,212.17,212.4,5208383
2016-10-18 00:00:00-04:00,214.24,214.29,213.27,213.68,5436245
2016-10-19 00:00:00-04:00,214.03,214.63,213.61,214.23,4584167
2016-10-20 00:00:00-04:00,213.87,214.53,213.12,213.89,6513518
2016-10-21 00:00:00-04:00,212.95,214.07,212.77,213.94,4313246
2016-10-24 00:00:00-04:00,214.99,215.31,214.48,214.86,4063899
2016-10-25 00:00:00-04:00,214.68,214.98,213.985,214.19,4971202
2016-10-26 00:00:00-04:00,213.21,214.41,212.93,213.75,6163336
2016-10-27 00:00:00-04:00,214.58,214.62,213.085,213.18,4993985
2016-10-28 00:00:00-04:00,213.14,213.92,211.72,212.49,10860467
2016-10-31 00:00:00-04:00,212.93,213.19,212.37,212.46,4755340
2016-11-01 00:00:00-04:00,212.92,212.99,209.6,211.03,10344303
2016-11-02 00:00:00-04:00,210.68,211.1,209.23,209.7,8335246
2016-11-03 00:00:00-04:00,209.99,210.24,208.46,208.84,7413068
2016-11-04 00:00:00-04:00,208.92,209.88,208.38,208.51,7179787
2016-11-07 00:00:00-05:00,211.45,213.19,211.31,213.1,8405610
2016-11-08 00:00:00-05:00,212.7,214.77,212.39,214.06,10707996
2016-11-09 00:00:00-05:00,212.37,217.1,212.34,216.36,21368867
2016-11-10 00:00:00-05:00,217.31,218.3,215.22,216.89,18432265
2016-11-11 00:00:00-05:00,216.1,216.695,215.32,216.47,8316967
2016-11-14 00:00:00-05:00,217.03,217.27,215.725,216.55,8123431
2016-11-15 00:00:00-05:00,217.04,218.275,216.81,218.25,7076963
2016-11-16 00:00:00-05:00,217.57,218.135,217.425,217.93,4698034
2016-11-17 00:00:00-05:00,218.04,219.06,217.93,218.95,5132331
2016-11-18 00:00:00-05:00,219.06,219.26,218.29,218.51,4790143
2016-11-21 00:00:00-05:00,219.17,220.18,219.01,220.12,5303435
2016-11-22 00:00:00-05:00,220.51,220.785,219.73,220.54,5114636
2016-11-23 00:00:00-05:00,219.98,220.755,219.75,220.72,4042256
2016-11-25 00:00:00-05:00,221.1,221.54,221.02,221.53,2083467
2016-11-28 00:00:00-05:00,221.16,221.48,220.37,220.53,5507208
2016-11-29 00:00:00-05:00,220.54,221.43,220.17,220.89,4427163
2016-11-30 00:00:00-05:00,221.63,221.81,220.38,220.38,6556998
2016-12-01 00:00:00-05:00,220.71,220.71,219.155,219.54,6798948
2016-12-02 00:00:00-05:00,219.67,220.25,219.26,219.66,5766080
2016-12-05 00:00:00-05:00,220.65,221.4,220.42,220.94,5054455
2016-12-06 00:00:00-05:00,221.21,221.74,220.67,221.67,4400014
2016-12-07 00:00:00-05:00,221.52,224.67,221.38,224.56,8117647
2016-12-08 00:00:00-05:00,224.57,225.69,224.26,225.12,7309348
2016-12-09 00:00:00-05:00,225.41,226.495,225.37,226.49,6199694
2016-12-12 00:00:00-05:00,226.4,226.95,225.77,226.22,6552380
2016-12-13 00:00:00-05:00,227.02,228.33,227.0,227.73,6666008
2016-12-14 00:00:00-05:00,227.41,228.22,225.37,225.93,10846057
2016-12-15 00:00:00-05:00,226.15,227.805,226.01,226.76,7875528
2016-12-16 00:00:00-05:00,226.01,226.08,224.68,225.07,7581037
2016-12-19 00:00:00-05:00,225.26,226.01,225.08,225.5,5126207
2016-12-20 00:00:00-05:00,226.16,226.57,225.88,226.37,4168861
2016-12-21 00:00:00-05:00,226.25,226.45,225.78,225.795,3347535
2016-12-22 00:00:00-05:00,225.6,225.73,224.93,225.4,3704151
2016-12-23 00:00:00-05:00,225.44,225.715,225.22,225.68,2334979
2016-12-27 00:00:00-05:00,226.02,226.72,226.02,226.24,3113401
2016-12-28 00:00:00-05:00,226.56,226.57,224.28,224.37,4023724
2016-12-29 00:00:00-05:00,224.48,224.88,223.84,224.34,3251000
2016-12-30 00:00:00-05:00,224.74,224.82,222.73,223.52,9541801
2017-01-03 00:00:00-05:00,225.07,225.83,223.89,225.17,6519213
2017-01-04 00:00:00-05:00,225.62,226.75,225.61,226.5,5153590
2017-01-05 00:00:00-05:00,226.27,226.58,225.49,226.35,4341189
2017-01-06 00:00:00-05:00,226.51,227.75,225.91,227.25,5174819
2017-01-09 00:00:00-05:00,226.9,227.07,226.42,226.49,3279616
2017-01-10 00:00:00-05:00,226.48,227.44,226.01,226.44,3422278
2017-01-11 00:00:00-05:00,226.36,227.05,225.59,227.05,6017354
2017-01-12 00:00:00-05:00,226.51,226.75,224.96,226.57,6238717
2017-01-13 00:00:00-05:00,226.78,227.4,226.69,227.02,3937405
2017-01-17 00:00:00-05:00,226.31,226.78,225.805,226.29,4126549
2017-01-18 00:00:00-05:00,226.53,226.79,225.91,226.74,4225677
2017-01-19 00:00:00-05:00,226.84,227.0,225.41,225.96,4827632
2017-01-20 00:00:00-05:00,226.7,227.31,226.05,226.69,7229192
2017-01-23 00:00:00-05:00,226.35,226.8,225.27,226.18,5354923
2017-01-24 00:00:00-05:00,226.39,228.07,226.28,227.58,5188035
2017-01-25 00:00:00-05:00,228.7,229.57,228.51,229.48,6419287
2017-01-26 00:00:00-05:00,229.4,229.71,229.02,229.3,4021508
2017-01-27 00:00:00-05:00,229.43,229.59,228.76,229.0,3564706
2017-01-30 00:00:00-05:00,228.14,228.2,226.42,227.62,6742531
2017-01-31 00:00:00-05:00,226.97,227.59,226.33,227.58,6122992
2017-02-01 00:00:00-05:00,228.255,228.58,226.94,227.63,6474564
2017-02-02 00:00:00-05:00,227.21,228.1,226.82,227.76,5391766
2017-02-03 00:00:00-05:00,228.82,229.55,228.47,229.37,6704399
2017-02-06 00:00:00-05:00,228.87,229.32,228.545,228.96,3965294
2017-02-07 00:00:00-05:00,229.38,229.65,228.73,228.97,4012930
2017-02-08 00:00:00-05:00,228.61,229.39,228.31,229.26,4025492
2017-02-09 00:00:00-05:00,229.56,230.95,229.53,230.58,4340526
2017-02-10 00:00:00-05:00,231.02,231.77,230.89,231.47,4792661
2017-02-13 00:00:00-05:00,232.09,233.07,232.05,232.73,4638986
2017-02-14 00:00:00-05:00,232.56,233.71,232.16,233.7,5319321
2017-02-15 00:00:00-05:00,233.44,235.13,233.39,234.87,6998376
2017-02-16 00:00:00-05:00,234.96,235.15,233.86,234.74,6882594
2017-02-17 00:00:00-05:00,233.97,235.06,233.94,235.05,4818546
2017-02-21 00:00:00-05:00,235.54,236.68,235.51,236.45,5475107
2017-02-22 00:00:00-05:00,236.02,236.54,235.83,236.29,4126947
2017-02-23 00:00:00-05:00,236.88,236.89,235.57,236.45,6229180
2017-02-24 00:00:00-05:00,235.46,236.79,235.41,236.78,6242074
2017-02-27 00:00:00-05:00,236.64,237.305,236.35,237.13,4303795
